#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
  M02	= Good evening!
  M03	= Long time, no see!
  M04	= Good luck!
  M05	= Thanks for waiting!
  M06	= Welcome!
  M07	= Everyone here?
  M08	= Just a sec!
  M09	= Ready?
  M10	= Starting soon?
  M11	= Let's wait three minutes.
  M12	= I'm taking a break.
  M13	= OK!
  M14	= Let's get started!
  M15	= Go easy on me...
  M16	= I'll do my best!
  M17	= What do you want to play?
  M18	= Any requests?
  M19	= VS? Battle?
  M20	= I don't know about this...
  M21	= VS race!
  M22	= Team VS race!
  M23	= Balloon Battle!
  M24	= Coin Runners!
  M25	= Let's go light!
  M26	= Medium weight!
  M27	= Heavy vehicles!
  M28	= I'm using my Mii!
  M29	= I'm using my Wii Wheel!
  M30	= I'm racing in a kart!
  M31	= I'm racing on a bike!
  M32	= What to choose... Hmmm...
  M33	= Which course?
  M34	= Hmmmmm...
  M35	= Let's choose Random!
  M36	= Let's try a new course!
  M37	= Luigi Circuit!
  M38	= Moo Moo Meadows!
  M39	= Mushroom Gorge!
  M40	= Toad's Factory!
  M41	= Mario Circuit!
  M42	= Coconut Mall!
  M43	= DK Summit!
  M44	= Wario's Gold Mine!
  M45	= Daisy Circuit!
  M46	= Koopa Cape!
  M47	= Maple Treeway!
  M48	= Grumble Volcano!
  M49	= Dry Dry Ruins!
  M50	= Moonview Highway!
  M51	= Bowser's Castle!
  M52	= Rainbow Road!
  M53	= GCN Peach Beach!
  M54	= DS Yoshi Falls!
  M55	= SNES Ghost Valley 2!
  M56	= N64 Mario Raceway!
  M57	= N64 Sherbet Land!
  M58	= GBA Shy Guy Beach!
  M59	= DS Delfino Square!
  M60	= GCN Waluigi Stadium!
  M61	= DS Desert Hills!
  M62	= GBA Bowser Castle 3!
  M63	= N64 DK's Jungle Parkway!
  M64	= GCN Mario Circuit!
  M65	= SNES Mario Circuit 3!
  M66	= DS Peach Gardens!
  M67	= GCN DK Mountain!
  M68	= N64 Bowser's Castle!
  M69	= Block Plaza!
  M70	= Delfino Pier!
  M71	= Funky Stadium!
  M72	= Chain Chomp Wheel!
  M73	= Thwomp Desert!
  M74	= SNES Battle Course 4!
  M75	= GBA Battle Course 3!
  M76	= N64 Skyscraper!
  M77	= GCN Cookie Land!
  M78	= DS Twilight House!
  M79	= Go red team!
  M80	= Go blue team!
  M81	= I did it!
  M82	= I'm number one!
  M83	= You're fast!
  M84	= Congrats!
  M85	= That was fun!
  M86	= Good match!
  M87	= Grr! Darn it!
  M88	= I'll get you next time!
  M89	= One more!
  M90	= This isn't over yet!
  M91	= Last race coming up!
  M92	= I think I'm about done.
  M93	= Thanks for the race!
  M94	= Thank you!
  M95	= Good night!
  M96	= See you next time!

#--- other messages

     1	/

   7d0	= OK
   7d1	= ←\z{802,170000}Back
   7d2	= Yes
   7d3	= No
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Single Player
   7dc	= Multiplayer
   7dd	= Nintendo WFC
   7de	= Mario Kart Channel
   7df	= License Settings
   7e0	= Records
   7e1	= Press the A Button
   7e2	= Main Menu
   7e3	/
   7e4	= Play a Grand Prix and other modes alone.
   7e5	= Race or battle with two players.
   7e6	= Race or battle with three players.
   7e7	= Race or battle with four players.
   7e8	= Play online.
   7e9	= Play online with a friend.
   7ea	= View rankings and enter tournaments.
   7eb	= Check records and change your Mii.
   7ec	/
   7ed	/
   7ee	= Multiplayer (2P)
   7ef	= Multiplayer (3P)
   7f0	= Multiplayer (4P)
   7f1	= Nintendo WFC (1P)
