#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
  M02	= Good evening!
  M03	= Long time no see!
  M04	= Good luck!
  M05	= Thanks for waiting!
  M06	= Welcome!
  M07	= Is everyone here?
  M08	= Let's wait a bit longer!
  M09	= Ready?
  M10	= Starting soon?
  M11	= Let's wait 3 more minutes...
  M12	= I'm going to take a break...
  M13	= OK!
  M14	= Let's get started!
  M15	= Go easy on me!
  M16	= I'll try my best!
  M17	= What shall we play?
  M18	= Any preferences?
  M19	= A Grand Prix or a Battle?
  M20	= I mightn't do so well...
  M21	= Let's have a Grand Prix!
  M22	= Let's have a Team Grand Prix!
  M23	= Let's have a Balloon Battle!
  M24	= Let's play Coin Runners!
  M25	= I'm going to use a small vehicle!
  M26	= I'm going to use a medium vehicle!
  M27	= I'm going to use a large vehicle!
  M28	= I'm going to race as a Mii!
  M29	= I'm going to use my Wii Wheel!
  M30	= I'm going to use a kart!
  M31	= I'm going to use a bike!
  M32	= I can't decide...
  M33	= Which course?
  M34	= Hmm...
  M35	= Let's choose Random!
  M36	= Let's try a new course!
  M37	= Luigi Circuit!
  M38	= Moo Moo Meadows!
  M39	= Mushroom Gorge!
  M40	= Toad's Factory!
  M41	= Mario Circuit!
  M42	= Coconut Mall!
  M43	= DK's Snowboard Cross!
  M44	= Wario's Gold Mine!
  M45	= Daisy Circuit!
  M46	= Koopa Cape!
  M47	= Maple Treeway!
  M48	= Grumble Volcano!
  M49	= Dry Dry Ruins!
  M50	= Moonview Highway!
  M51	= Bowser's Castle!
  M52	= Rainbow Road!
  M53	= GCN Peach Beach!
  M54	= DS Yoshi Falls!
  M55	= SNES Ghost Valley 2!
  M56	= N64 Mario Raceway!
  M57	= N64 Sherbet Land!
  M58	= GBA Shy Guy Beach!
  M59	= DS Delfino Square!
  M60	= GCN Waluigi Stadium!
  M61	= DS Desert Hills!
  M62	= GBA Bowser Castle 3!
  M63	= N64 DK's Jungle Parkway!
  M64	= GCN Mario Circuit!
  M65	= SNES Mario Circuit 3!
  M66	= DS Peach Gardens!
  M67	= GCN DK Mountain!
  M68	= N64 Bowser's Castle!
  M69	= Block Plaza!
  M70	= Delfino Pier!
  M71	= Funky Stadium!
  M72	= Chain Chomp Roulette!
  M73	= Thwomp Desert!
  M74	= SNES Battle Course 4!
  M75	= GBA Battle Course 3!
  M76	= N64 Skyscraper!
  M77	= GCN Cookie Land!
  M78	= DS Twilight House!
  M79	= The red team rules!
  M80	= The blue team rules!
  M81	= Yaaaay!
  M82	= I'm the best!
  M83	= You're all so fast!
  M84	= Congratulations!
  M85	= That was fun!
  M86	= So exciting!
  M87	= Grrr! No fair!
  M88	= I won't lose next time!
  M89	= Let's play again!
  M90	= This isn't over yet!
  M91	= The next game will be the last!
  M92	= I'm ready to quit...
  M93	= Thanks for a great time!
  M94	= Thanks!
  M95	= Goodnight!
  M96	= See you later!

#--- other messages

     1	/

   7d0	= OK
   7d1	= ←\z{802,170000}Back
   7d2	= Yes
   7d3	= No
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Single Player
   7dc	= Multiplayer
   7dd	= Nintendo WFC
   7de	= Mario Kart Channel
   7df	= Licence Settings
   7e0	= Records
   7e1	= Press the A Button
   7e2	= Main Menu
   7e3	/
   7e4	= Grand Prix and more for one player!
   7e5	= Race and battle with two players!
   7e6	= Race and battle with three players!
   7e7	= Race and battle with four players!
   7e8	= Play via Nintendo WFC!
   7e9	= Play with a friend via Nintendo WFC!
   7ea	= View rankings and competition data!
   7eb	= Check your records and change your Mii!
