#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hallo!
  M02	= Guten Abend!
  M03	= Lange her!
  M04	= Viel Glück!
  M05	= Danke fürs Warten!
  M06	= Herzlich willkommen!
  M07	= Alle da?
  M08	= Moment noch!
  M09	= Bereit?
  M10	= Geht's bald los?
  M11	= Warten wir noch ein bisschen...
  M12	= Ich mach 'ne Pause...
  M13	= O.K.!
  M14	= Fangen wir an!
  M15	= Etwas Nachsicht, bitte!
  M16	= Ich geb mein Bestes!
  M17	= Was spielen wir?
  M18	= Irgendwelche Vorschläge?
  M19	= Grand Prix oder Wettkampf?
  M20	= Ich bin nicht so der Bringer...
  M21	= Lust auf einen Grand Prix?
  M22	= Lust auf 'nen Team-Grand Prix?
  M23	= Spielen wir Ballonbalgerei!
  M24	= Spielen wir Münzenjäger!
  M25	= Ich bin für leichte Fahrzeuge!
  M26	= Ich bin für mittlere Fahrzeuge!
  M27	= Ich bin für schwere Fahrzeuge!
  M28	= Ich fahre als mein Mii!
  M29	= Ich fahre mit Wii Wheel!
  M30	= Ich fahre ein Kart!
  M31	= Ich fahre ein Bike!
  M32	= Ich weiß nicht...
  M33	= Welcher Kurs?
  M34	= Hmm...
  M35	= Überlassen wir's dem Zufall!
  M36	= Wie wär's mit 'nem anderen Kurs?
  M37	= Luigis Piste!
  M38	= Kuhmuh-Weide!
  M39	= Pilz-Schlucht!
  M40	= Toads Fabrik!
  M41	= Marios Piste!
  M42	= Kokos-Promenade!
  M43	= DK Skikane!
  M44	= Warios Goldmine!
  M45	= Daisys Piste!
  M46	= Koopa-Kap!
  M47	= Blätterwald!
  M48	= Vulkangrollen!
  M49	= Staubtrockene Ruinen!
  M50	= Mondblickstraße!
  M51	= Bowsers Festung!
  M52	= Regenbogen-Boulevard!
  M53	= GCN Peach Beach!
  M54	= DS Yoshi-Kaskaden!
  M55	= SNES Geistertal 2!
  M56	= N64 Marios Rennpiste!
  M57	= N64 Sorbet-Land!
  M58	= GBA Shy Guy-Strand!
  M59	= DS Piazzale Delfino!
  M60	= GCN Waluigi-Arena!
  M61	= DS Glühheiße Wüste!
  M62	= GBA Bowsers Festung 3!
  M63	= N64 DKs Dschungelpark!
  M64	= GCN Marios Piste!
  M65	= SNES Marios Piste 3!
  M66	= DS Peachs Schlossgarten!
  M67	= GCN DK Bergland!
  M68	= N64 Bowsers Festung!
  M69	= Block-Plaza!
  M70	= Delfino-Pier!
  M71	= Funky-Stadion!
  M72	= Kettenhund-Roulette!
  M73	= Steinwüste!
  M74	= SNES Kampfkurs 4!
  M75	= GBA Kampfkurs 3!
  M76	= N64 Wolkenkratzer!
  M77	= GCN Keks-Land!
  M78	= DS Finstervilla!
  M79	= Das rote Team bringt's!
  M80	= Das blaue Team bringt's!
  M81	= Hurraaaaa!!!
  M82	= Ich bin Spitzenklasse!
  M83	= Ihr seid alle so schnell!
  M84	= Gratuliere!
  M85	= Das hat Spaß gemacht!
  M86	= Echt knackig!
  M87	= Grrr! Ziemlich fies!
  M88	= Nächstes Mal gewinne ICH!
  M89	= Spielen wir mal wieder!
  M90	= Das ist noch nicht vorbei!
  M91	= Nur noch ein Spiel für mich!
  M92	= Sollen wir aufhören?
  M93	= Danke! Das war klasse!
  M94	= Danke!
  M95	= Gute Nacht!
  M96	= Tschüss!

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= O.K.
   7d1	= ←\z{802,170000}Zurück
   7d2	= Ja
   7d3	= Nein
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Einspieler
   7dc	= Mehrspieler
   7dd	= Nintendo WFC
   7de	= Mario Kart-Kanal
   7df	= Profil-Menü
   7e0	= Rekorde
   7e1	= Drücke den A-Knopf
   7e2	= Hauptmenü
   7e3	/
   7e4	= Grand Prix und mehr für einen Spieler!
   7e5	= Rennen oder Wettkämpfe für zwei Spieler!
   7e6	= Rennen oder Wettkämpfe für drei Spieler!
   7e7	= Rennen oder Wettkämpfe für vier Spieler!
   7e8	= Spiele via Nintendo WFC!
   7e9	= Spielt zu zweit mit anderen via Nintendo WFC!
   7ea	= Ranglisten, Wettbewerbsdaten und mehr!
   7eb	= Betrachte Rekorde und ändere dein Mii!
   7ec	/
   7ed	/
   7ee	= Mehrspieler für 2
   7ef	= Mehrspieler für 3
   7f0	= Mehrspieler für 4
   7f1	= Nintendo WFC (1S)
   7f2	= Nintendo WFC (2S)
   7f3	/
   802	= Bitte schiebe die Mario Kart Wii-\n
	+ Disc in deine Wii-Konsole ein und\n
	+ warte, bis das Spiel gestartet wird.
   803	= Diese Disc kann nicht gelesen\n
	+ werden. Bitte lies die Wii-\n
	+ Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.
   804	= Ein Fehler ist aufgetreten.\n
	+ \n
	+ Drücke den Ausgabeknopf, entnimm\n
	+ die Disc und schalte die Wii-\n
	+ Konsole aus. Bitte lies die\n
	+ Wii-Bedienungsanleitung,\n
	+ um weitere Informationen\n
	+ zu erhalten.
   805	= Der Speicher der Wii-Konsole ist\n
	+ belegt. Bitte rufe den Datenver-\n
	+ waltungsbildschirm auf, um Daten\n
	+ auf eine SD Card zu verschieben\n
	+ oder zu löschen (erforderliche\n
	+ Blöcke: 23).
   806	= Der Speicher der Wii-Konsole ist\n
	+ fehlerhaft. Bitte lies die\n
	+ Wii-Bedienungsanleitung, um\n
	+ weitere Informationen zu erhalten.
   807	= Die Datei ist fehlerhaft und\n
	+ kann daher nicht verwendet\n
	+ werden.\n
	+ \n
	+ Fehlerhafte Datei löschen\n
	+ und eine neue erstellen?
   808	/
   809	= Auf den Speicher der\n
	+ Wii-Konsole konnte nicht\n
	+ zugegriffen werden.\n
	+ \n
	+ Bitte lies die Wii-\n
	+ Bedienungsanleitung,\n
	+ um weitere Informationen\n
	+ zu erhalten.
   80a	= Du kehrst nun zurück zum Wii-Menü.
   80b	= Ohne Speichern fortfahren
   80c	= Zurück zum Wii-Menü
   80d	= Dieses Menü lässt sich nicht\n
	+ aufrufen, weil keine Speicherdatei\n
	+ existiert.
   80e	= Lesen der Speicherdatei\n
	+ fehlgeschlagen.\n
	+ Bitte schiebe eine\n
	+ Mario Kart Wii-Disc ein.
   80f	= Disc starten
   810	= Möchtest du zum\n
	+ Wii-Menü zurückkehren?
   811	= Speichervorgang. Bitte betätige\n
	+ weder den POWER-Schalter noch\n
	+ den RESET-Knopf.
   812	= Die Speicherdaten des Mii-Kanals\n
	+ konnten nicht geladen werden.\n
	+ Bitte rufe den Mii-Kanal auf,\n
	+ um die Speicherdaten zu überprüfen.
   813	= Bitte bedenke, dass dieses Mii\n
	+ auch in Mario Kart Wii gelöscht\n
	+ wird, wenn du es aus dem\n
	+ Mii-Kanal löschst.
   814	= Dein Fahrerprofil wurde unter\n
	+ Nutzung eines Gast-Miis angelegt.\n
	+ Du kannst auch ein eigenes Mii\n
	+ in deinem Mii-Kanal erstellen.
   815	= Die Geistdaten konnten nicht\n
	+ gesendet werden. Du kannst nur\n
	+ 5 Geistdaten auf einmal als\n
	+ Herausforderung senden.\n
	+ \n
	+ Erst wenn du das nächste Mal\n
	+ die Mario Kart Wii-Disc startest,\n
	+ kannst du wieder Geistdaten senden.
   816	= Keine Verbindung zur Nintendo Wi-Fi\n
	+ Connection möglich. Es existiert\n
	+ keine Speicherdatei.\n
	+ Im Datenverwaltungsbildschirm\n
	+ des Speichers der Wii-Konsole\n
	+ kannst du den Inhalt des\n
	+ Speichers der Wii-Konsole verwalten.
   817	= Es können keine weiteren Dateien\n
	+ im Speicher der Wii-Konsole\n
	+ gespeichert werden. Bitte rufe\n
	+ den Datenverwaltungsbildschirm auf,\n
	+ um Daten auf eine SD Card zu\n
	+ verschieben oder zu löschen.
   818	= Die Verbindung zur Nintendo\n
	+ Wi-Fi Connection wurde unter-\n
	+ brochen. Du kehrst nun zurück\n
	+ zum Hauptmenü.
   819	= Die Ländereinstellung wurde geändert.\n
	+ Aus diesem Grund muss eine neue\n
	+ Datei erstellt werden.\n
	+ Wenn die existierende Datei nicht\n
	+ überschrieben werden soll, dann gib\n
	+ im Wii-Menü bitte die ursprüngliche\n
	+ Ländereinstellung ein.
   81a	= Datei neu erstellen
   81b	/
   834	/
   835	= Ein neues Mario Kart Wii-\n
	+ Fahrerprofil wird angelegt.
   836	= Profil anlegen
   837	= Profil löschen
   838	= Profil auswählen
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= Soll für \z{802,120000}\n
	+ ein neues Fahrerprofil\n
	+ angelegt werden?
   840	= Soll das Mii für dieses Fahrerprofil\n
	+ mit \z{802,120000} ausgetauscht\n
	+ werden?
   841	= \z{602,0} und \z{802,120000}\n
	+ werden gemeinsam mit der\n
	+ Nintendo WFC verbunden.
   842	/
   848	= Rekorde
   849	= Sieh Rekorde von \z{602,0} an.
   84a	= Ändere das Mii des Fahrerprofils.
   84b	= Mii wählen
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Lösche das Fahrerprofil von \z{602,0}.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Schließen
   858	/
   866	/
   867	= Dein neues Fahrerprofil wurde angelegt.
   868	= Möchtest du das Fahrerprofil von\n
	+ \z{602,0} wirklich löschen?
   869	= Das Fahrerprofil von\n
	+ \z{602,0} wurde gelöscht.
   86a	/
   86b	= Das Mii des Profils wurde ausgetauscht.
   86c	/
   86d	= Fahrerprofil wird gelöscht...
   86e	= Alle Daten dieses Fahrerprofils,\n
	+ auch die Freundesliste und\n
	+ Geistdaten-Rekorde, werden\n
	+ gelöscht. Dennoch fortfahren?
   86f	/
   898	= Mii ändern
   899	= Mii-Auswahl
   89a	= Wii-Konsole
   89b	= Gast
   89c	/
   89d	= Das Mii dieses Fahrerprofils\n
	+ wurde aus deinem Mii-Kanal gelöscht.\n
	+ \n
	+ Bitte wähle ein anderes Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Die Ladung der Batterien\n
