#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Ciao!
  M02	= Buona sera!
  M03	= È tanto che non ci vediamo!
  M04	= Buona fortuna!
  M05	= Grazie di aver atteso!
  M06	= Salve!
  M07	= Ci siamo tutti?
  M08	= Aspettiamo ancora un po'!
  M09	= Pronti?
  M10	= Stiamo per iniziare?
  M11	= Ancora qualche minuto...
  M12	= Faccio una piccola pausa...
  M13	= OK!
  M14	= Iniziamo!
  M15	= Non sono molto forte...
  M16	= Farò del mio meglio!
  M17	= A cosa giochiamo?
  M18	= Qualche preferenza?
  M19	= Gran Premio o Battaglia?
  M20	= Forse non andrò benissimo...
  M21	= Un Gran premio?
  M22	= Un Gran premio a squadre?
  M23	= Una Battaglia palloncini?
  M24	= Una Corsa per le monete?
  M25	= Userò un veicolo piccolo!
  M26	= Userò un veicolo medio!
  M27	= Userò un veicolo grande!
  M28	= Gareggerò come Mii!
  M29	= Userò il Wii Wheel!
  M30	= Userò un kart!
  M31	= Userò una moto!
  M32	= Non riesco a decidere...
  M33	= Quale percorso?
  M34	= Mmm...
  M35	= Facciamo a caso!
  M36	= Proviamo un percorso nuovo!
  M37	= Circuito di Luigi!
  M38	= Prateria verde!
  M39	= Gola Fungo!
  M40	= Fabbrica di Toad!
  M41	= Circuito di Mario!
  M42	= Outlet Cocco!
  M43	= Pista snowboard DK!
  M44	= Miniera d'oro di Wario!
  M45	= Circuito di Daisy!
  M46	= Punta Koopa!
  M47	= Pista degli aceri!
  M48	= Vulcano brontolone!
  M49	= Rovine desertiche!
  M50	= Autostrada lunare!
  M51	= Castello di Bowser!
  M52	= Pista Arcobaleno!
  M53	= GCN Spiaggia di Peach!
  M54	= DS Cascate di Yoshi!
  M55	= SNES Valle fantasma 2!
  M56	= N64 Pista di Mario!
  M57	= N64 Circuito gelato!
  M58	= GBA Spiaggia Tipo Timido!
  M59	= DS Borgo Delfino!
  M60	= GCN Stadio di Waluigi!
  M61	= DS Deserto Picchiasol!
  M62	= GBA Castello di Bowser 3!
  M63	= N64 Viale Giungla DK!
  M64	= GCN Circuito di Mario!
  M65	= SNES Circuito di Mario 3!
  M66	= DS Giardino di Peach!
  M67	= GCN Montagne di DK!
  M68	= N64 Castello di Bowser!
  M69	= Piazza Blocchi!
  M70	= Molo Delfino!
  M71	= Stadio funky!
  M72	= Roulette Categnaccio!
  M73	= Deserto Twomp!
  M74	= SNES Percorso di guerra 4!
  M75	= GBA Percorso di guerra 3!
  M76	= N64 Grattacielo!
  M77	= GCN Biscolandia!
  M78	= DS Casa crepuscolare!
  M79	= La squadra rossa è la più forte!
  M80	= La squadra blu è la più forte!
  M81	= Hurrà!
  M82	= Sono più forte di tutti!
  M83	= Però, che velocità!
  M84	= Congratulazioni!
