#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= こんにちは！
  M02	= こんばんは！
  M03	= ひさしぶり～！
  M04	= よろしくおねがいします！
  M05	= おまたせー！
  M06	= ようこそ！
  M07	= みんな  そろった？
  M08	= ちょっと  まってね！
  M09	= じゅんび  できた？
  M10	= そろそろ  しめきり？
  M11	= 3ぷん  まちましょう
  M12	= すこし  やすみます
  M13	= オッケー！
  M14	= さあ  はじめよう！
  M15	= おてやわらかに～
  M16	= がんばります！
  M17	= なにであそぶ？
  M18	= おすすめは？
  M19	= グランプリ？  バトル？
  M20	= じしんがないよー
  M21	= グランプリ  こじんせん  であそびたい！
  M22	= グランプリ  チームせん  であそびたい！
  M23	= ふうせんバトル  であそびたい！
  M24	= あつめてコイン  であそびたい！
  M25	= こがた  つかいます！
  M26	= ちゅうがた  つかいます！
  M27	= おおがた  つかいます！
  M28	= Mii  つかいます！
  M29	= Wiiハンドルで  いきます！
  M30	= カートで  いきます！
  M31	= バイクで  いきます！
  M32	= どうしようかな～
  M33	= どのコースがいい？
  M34	= う～ん
  M35	= おまかせ  にしよう！
  M36	= まだやってないコース！
  M37	= ルイージサーキット！
  M38	= モーモーカントリー！
  M39	= キノコキャニオン！
  M40	= キノピオファクトリー！
  M41	= マリオサーキット！
  M42	= ココナッツモール！
  M43	= DKスノーボードクロス！
  M44	= ワリオこうざん！
  M45	= デイジーサーキット！
  M46	= ノコノコみさき！
  M47	= メイプルツリーハウス！
  M48	= グラグラかざん！
  M49	= カラカラいせき！
  M50	= ムーンリッジ＆ハイウェイ！
  M51	= クッパキャッスル！
  M52	= レインボーロード！
  M53	= GC ピーチビーチ！
  M54	= DS ヨッシーフォールズ！
  M55	= SFC おばけぬま2！
  M56	= 64 マリオサーキット！
  M57	= 64 シャーベットランド！
  M58	= GBA ヘイホービーチ！
  M59	= DS モンテタウン！
  M60	= GC ワルイージスタジアム！
  M61	= DS サンサンさばく！
  M62	= GBA クッパキャッスル3！
  M63	= 64 DKジャングルパーク！
  M64	= GC マリオサーキット！
  M65	= SFC マリオサーキット3！
  M66	= DS ピーチガーデン！
  M67	= GC DKマウンテン！
  M68	= 64 クッパキャッスル！
  M69	= ブロックひろば！
  M70	= アクアリゾート！
  M71	= ファンキースタジアム！
  M72	= ワンワンルーレット！
  M73	= ドッスンさばく！
  M74	= SFC バトルコース4！
  M75	= GBA バトルコース3！
  M76	= 64 まてんろう！
  M77	= GC クッキーランド！
  M78	= DS ゆうやみハウス！
  M79	= レッドチーム  ばんざい！
  M80	= ブルーチーム  ばんざい！
  M81	= やった！
  M82	= いっちばーん！
  M83	= みんな  はやいな～
  M84	= おめでとー！
  M85	= たのしかった！
  M86	= エキサイティング！
  M87	= くやしー！
  M88	= つぎは  まけない
  M89	= もういっかい  やりましょう
  M90	= まだまだ  これから！
  M91	= つぎで  ラストにします！
  M92	= そろそろ  ぬけます
  M93	= おつかれさまでした！
  M94	= ありがとうございました！
  M95	= おやすみなさい
  M96	= またねー

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= OK
   7d1	= ←\z{802,170000}もどる
   7d2	= はい
   7d3	= いいえ
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= シングルプレイ
   7dc	= マルチプレイ
   7dd	= Wi-Fi
   7de	= マリオカートチャンネル
   7df	= ライセンス設定
   7e0	= レコード
   7e1	= PRESS (A) BUTTON
   7e2	= トップメニュー
   7e3	/
   7e4	= グランプリなどを  １人であそびます
   7e5	= VSとバトルを  ２人であそびます
   7e6	= VSとバトルを  ３人であそびます
   7e7	= VSとバトルを  ４人であそびます
   7e8	= インターネットにつないであそびます
   7e9	= ２人で  インターネットにつないであそびます
   7ea	= ランキングをみたり  大会への参加ができます
   7eb	= きろくをみたり  Miiをかえることができます
   7ec	/
   7ed	/
