#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= 안녕하세요!
  M02	= 반갑습니다!
  M03	= 오랜만이에요～!
  M04	= 잘 부탁드려요!
  M05	= 많이 기다리셨죠!
  M06	= 어서 오세요!
  M07	= 다들 모이셨나요?
  M08	= 잠시만 기다리세요!
  M09	= 준비되셨나요?
  M10	= 이제 시작할까요?
  M11	= 3분만 기다려요
  M12	= 조금 쉴게요...Zzz
  M13	= OK!
  M14	= 그럼 시작해요!
  M15	= 살살 하세요～
  M16	= 열심히 할게요!
  M17	= 뭐하고 놀까요?
  M18	= 하고 싶은 거 있어요?
  M19	= 그랑프리? 배틀?
  M20	= 난 자신 없는데... T.T
  M21	= 그랑프리 개인전!
  M22	= 그랑프리 단체전!
  M23	= 풍선 배틀!
  M24	= 코인을 모아라!
  M25	= 경량급 캐릭터를 사용할래요!
  M26	= 중량급 캐릭터를 사용할래요!
  M27	= 무제한급 캐릭터를 사용할래요!
  M28	= Mii를 사용할래요!
  M29	= Wii 핸들을 사용할게요!
  M30	= 카트로 달릴게요!
  M31	= 바이크로 달릴게요!
  M32	= 뭘로 할까～～
  M33	= 어떤 코스가 좋아요?
  M34	= 음～～
  M35	= 랜덤으로 할래요!
  M36	= 아직 안 해 본 코스!
  M37	= 루이지 서킷!
  M38	= 음매음매 컨트리!
  M39	= 버섯 캐니언!
  M40	= 키노피오 팩토리!
  M41	= 마리오 서킷!
  M42	= 코코넛 몰!
  M43	= DK 스노보드 경기장!
  M44	= 와리오 광산!
  M45	= 데이지 서킷!
  M46	= 엉금엉금 케이프!
  M47	= 단풍나무 로드!
  M48	= 이글이글 화산!
  M49	= 메마른 유적!
  M50	= 달맞이 하이웨이!
  M51	= 쿠파 성!
  M52	= 무지개 로드!
  M53	= GC 피치 비치!
  M54	= DS 요시알 폭포!
  M55	= SFC 유령의 늪2!
  M56	= 64 마리오 서킷!
  M57	= 64 샤베트 랜드!
  M58	= GBA 헤이호 비치!
  M59	= DS 몬테 타운!
  M60	= GC 와루이지 스타디움!
  M61	= DS 썬썬 사막!
  M62	= GBA 쿠파 성3!
  M63	= 64 DK 정글 파크!
  M64	= GC 마리오 서킷!
  M65	= SFC 마리오 서킷3!
  M66	= DS 피치 가든!
  M67	= GC DK 마운틴!
  M68	= 64 쿠파 성!
  M69	= 블록 광장!
  M70	= 아쿠아 리조트!
  M71	= 펑키 스타디움!
  M72	= 멍멍이 룰렛!
  M73	= 쿵쿵 사막!
  M74	= SFC 배틀 코스4!
  M75	= GBA 배틀 코스3!
  M76	= 64 마천루!
  M77	= GC 쿠키 랜드!
  M78	= DS 어두컴COME!!
  M79	= 레드 팀 만세!
  M80	= 블루 팀 만세!
  M81	= 이겼다!
  M82	= 일등이다!
  M83	= 다들 빠르네요～ *.*
  M84	= 축하축하!
  M85	= 재밌었어요!
  M86	= 너무 즐거워요!
  M87	= 아깝다!
  M88	= 다음엔 이길 거예요!
  M89	= 한 번 더 해요!
  M90	= 지금부터 시작이에요!
  M91	= 다음 레이스까지만 해요!
  M92	= 이제 나갈게요
  M93	= 수고하셨어요!
  M94	= 고마워요!
  M95	= 안녕히 주무세요
  M96	= 또 만나요!

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= OK
   7d1	= ←\z{802,170000}뒤로
   7d2	= 예
   7d3	= 아니요
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= 싱글 플레이
   7dc	= 멀티 플레이
   7dd	= Wi-Fi
   7de	= 마리오 카트 채널
   7df	= 라이센스 설정
   7e0	= 기록
   7e1	= PRESS (A) BUTTON
   7e2	= 메인 메뉴
   7e3	/
   7e4	= 그랑프리 등을 혼자 플레이합니다
   7e5	= VS와 배틀을 2명이 플레이합니다
