#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Bonjour!
  M02	= Bonsoir!
  M03	= Ça faisait longtemps!
  M04	= Bonne chance!
  M05	= Merci d'avoir patienté!
  M06	= Bienvenue!
  M07	= Tout le monde est là?
  M08	= Attendons encore un peu...
  M09	= Tout le monde est prêt?
  M10	= La partie commence bientôt?
  M11	= Attendons encore quelques minutes...
  M12	= Je vais faire une pause...
  M13	= OK!
  M14	= C'est parti!
  M15	= Ne soyez pas trop durs avec moi!
  M16	= Je vais faire de mon mieux!
  M17	= Qu'est-ce qu'on fait?
  M18	= Des préférences?
  M19	= Une course VS ou une bataille?
  M20	= Je le sens mal...
  M21	= Une course VS!
  M22	= Une course VS par équipes!
  M23	= Une Bataille de Ballons!
  M24	= Une Pilotes Pièces!
  M25	= Je vais prendre un véhicule léger!
  M26	= Je vais prendre un véhicule standard!
  M27	= Je vais prendre un véhicule lourd!
  M28	= Je vais jouer avec mon Mii!
  M29	= Je vais jouer avec le Wii Wheel!
  M30	= Je vais prendre un kart!
  M31	= Je vais prendre une moto!
  M32	= Peu importe!
  M33	= Quel circuit?
  M34	= Hum...
  M35	= Laissons le hasard décider!
  M36	= Essayons un autre circuit!
  M37	= Circuit Luigi!
  M38	= Prairie Meuh Meuh!
  M39	= Gorge Champignon!
  M40	= Usine de Toad!
  M41	= Circuit Mario!
  M42	= Centre Cocotier!
  M43	= Sommet DK!
  M44	= Mine d'Or de Wario!
  M45	= Circuit Daisy!
  M46	= Cap Koopa!
  M47	= Chemin à la Sucrerie!
  M48	= Volcan Grondant!
  M49	= Ruines Sec-Sec!
  M50	= Autoroute de la Lune!
  M51	= Château de Bowser!
  M52	= Route Arc-en-ciel!
  M53	= GCN Plage Peach!
  M54	= DS Cascades Yoshi!
  M55	= SNES Vallée Fantôme 2!
  M56	= N64 Autodrome Mario!
  M57	= N64 Royaume Sorbet!
  M58	= GBA Plage Shy Guy!
  M59	= DS Quartier Delfino!
  M60	= GCN Stade Waluigi!
  M61	= DS Désert du Soleil!
  M62	= GBA Château de Bowser 3!
  M63	= N64 Jungle de DK!
  M64	= GCN Circuit Mario!
  M65	= SNES Circuit Mario 3!
  M66	= DS Jardin Peach!
  M67	= GCN Montagne DK!
  M68	= N64 Château de Bowser!
  M69	= Square Bloc!
  M70	= Quai Delfino!
  M71	= Stade de Funky Kong!
  M72	= Roulette Chain Chomp!
  M73	= Désert Thwomp!
  M74	= SNES Circuit de Bataille 4!
  M75	= GBA Circuit de Bataille 3!
  M76	= N64 Gratte-ciel!
  M77	= GCN Cookie Arena!
  M78	= DS Maison de l'Aube!
  M79	= Allez, les rouges!
  M80	= Allez, les bleus!
  M81	= Youpi!
  M82	= J'ai gagné!
  M83	= Ça va trop vite pour moi!
  M84	= Félicitations!
  M85	= C'était marrant!
  M86	= Belle partie!
  M87	= Grrr! Pas juste!
  M88	= J'aurai ma revanche!
  M89	= Remettons ça!
  M90	= Ce n'est pas encore fini!
  M91	= Allez, une dernière!
  M92	= Je vais en rester là...
  M93	= Merci pour ce bon moment!
  M94	= Merci!
  M95	= Bonne nuit!
  M96	= À la prochaine!

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= OK
   7d1	= ←\z{802,170000}Retour
   7d2	= Oui
   7d3	= Non
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Un joueur
   7dc	= Multijoueur
   7dd	= CWF Nintendo
   7de	= Chaîne Mario Kart
   7df	= Options du permis
   7e0	= Records
