#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= ¡Hola!
  M02	= ¡Buenas noches!
  M03	= ¡Cuánto tiempo ha pasado!
  M04	= ¡Buena suerte!
  M05	= ¡Gracias por esperar!
  M06	= ¡Saludos!
  M07	= ¿Estamos todos?
  M08	= ¡Vamos a esperar un poco!
  M09	= ¿Vamos allá?
  M10	= ¿Empezamos?
  M11	= Esperemos 3 minutos más...
  M12	= Voy a hacer una pausa...
  M13	= ¡Bien!
  M14	= ¡Vamos a empezar!
  M15	= ¡No vale pasarse!
  M16	= ¡Voy a darlo todo!
  M17	= ¿A qué jugamos?
  M18	= ¿Alguna preferencia?
  M19	= ¿Grand Prix o Batalla?
  M20	= La cosa está difícil...
  M21	= ¡A por un Grand Prix!
  M22	= ¡A por un Grand Prix en equipo!
  M23	= ¡A por una Batalla de globos!
  M24	= ¡A por una Carrera de monedas!
  M25	= ¡Usaré un vehículo pequeño!
  M26	= ¡Usaré un vehículo mediano!
  M27	= ¡Usaré un vehículo grande!
  M28	= ¡Voy a correr con un Mii!
  M29	= ¡Utilizaré Wii Wheel!
  M30	= ¡Voy a correr en kart!
  M31	= ¡Voy a correr en moto!
  M32	= No termino de decidirme...
  M33	= ¿Qué circuito?
  M34	= Mmm...
  M35	= ¡Elijamos "Aleatorio"!
  M36	= ¡Probemos un circuito nuevo!
  M37	= ¡Circuito de Luigi!
  M38	= ¡Pradera Mu-Mu!
  M39	= ¡Barranco Champiñón!
  M40	= ¡Fábrica de Toad!
  M41	= ¡Circuito Mario!
  M42	= ¡Centro Cocotero!
  M43	= ¡Cumbre DK!
  M44	= ¡Mina de Wario!
  M45	= ¡Circuito de Daisy!
  M46	= ¡Colina de Koopa!
  M47	= ¡Senda del Arce!
  M48	= ¡Volcán Gruñón!
  M49	= ¡Ruinas Seco-Seco!
  M50	= ¡Circuito Luz de Luna!
  M51	= ¡Castillo de Bowser!
  M52	= ¡Senda Arco Iris!
  M53	= ¡GCN Playa Peach!
  M54	= ¡DS Cataratas de Yoshi!
  M55	= ¡SNES Valle Fantasma 2!
  M56	= ¡N64 Pista Mario!
  M57	= ¡N64 Tierra Sorbete!
  M58	= ¡GBA Playa Shy Guy!
  M59	= ¡DS Ciudad Delfino!
  M60	= ¡GCN Estadio Waluigi!
  M61	= ¡DS Desierto Sol-Sol!
  M62	= ¡GBA Castillo de Bowser 3!
  M63	= ¡N64 Pista de la Jungla DK!
  M64	= ¡GCN Circuito Mario!
  M65	= ¡SNES Circuito Mario 3!
  M66	= ¡DS Jardín de Peach!
  M67	= ¡GCN Montaña DK!
  M68	= ¡N64 Castillo de Bowser!
  M69	= ¡Plaza Cúbica!
  M70	= ¡Muelle Delfino!
  M71	= ¡Estadio Funky!
  M72	= ¡Ruleta Chomp Cadenas!
  M73	= ¡Desierto Roca Picuda!
  M74	= ¡SNES Circuito de Batalla 4!
  M75	= ¡GBA Circuito de Batalla 3!
  M76	= ¡N64 Rascacielos!
  M77	= ¡GCN Tierra Galleta!
  M78	= ¡DS Casa Crepuscular!
  M79	= ¡El equipo rojo es el mejor!
  M80	= ¡El equipo azul es el mejor!
  M81	= ¡Hurra!
  M82	= ¡Soy el mejor!
  M83	= ¡Sois todos rapidísimos!
  M84	= ¡Enhorabuena!
  M85	= ¡Estuvo bien!
  M86	= ¡Ha sido impresionante!
  M87	= ¡No hay derecho!
  M88	= El que ríe último, ríe mejor.
  M89	= ¡Vamos a echarnos otra!
  M90	= ¡Aún no ha terminado!
  M91	= ¡La siguiente es la última!
  M92	= Voy a abandonar...
  M93	= ¡Me lo he pasado en grande!
  M94	= ¡Gracias!
  M95	= ¡Felices sueños!
  M96	= ¡Hasta luego!

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= Vale
   7d1	= ←\z{802,170000}Atrás
   7d2	= Sí
   7d3	= No
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000} / \z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Un jugador
   7dc	= Multijugador
   7dd	= CWF de Nintendo
   7de	= Canal Mario Kart
   7df	= Configurar carné
   7e0	= Resultados
   7e1	= Pulsa el Botón A
   7e2	= Menú principal
   7e3	/
   7e4	= ¡Grand Prix y mucho más para un jugador!
   7e5	= ¡Carreras y batallas con dos jugadores!
   7e6	= ¡Carreras y batallas con tres jugadores!
   7e7	= ¡Carreras y batallas con cuatro jugadores!
   7e8	= ¡Juega en la CWF de Nintendo!
   7e9	= ¡Juega con un amigo en la CWF de Nintendo!
   7ea	= ¡Clasificaciones, concursos y mucho más!
   7eb	= ¡Comprueba los resultados y cambia de Mii!
   7ec	/
   7ed	/
   7ee	= Multijugador (2J)
   7ef	= Multijugador (3J)
   7f0	= Multijugador (4J)
   7f1	= CWF de Nintendo (1J)
   7f2	= CWF de Nintendo (2J)
   7f3	/
   802	= Inserta el disco de Mario Kart Wii\n
	+ en la consola Wii y espera a que\n
	+ empiece el juego.
   803	= No se puede leer el disco.\n
	+ Consulta el manual de instrucciones \n
	+ de la consola Wii para obtener más \n
	+ información.
   804	= Se ha producido un error.\n
	+ \n
	+ Pulsa el Botón EJECT, extrae el disco \n
	+ y apaga la consola. Consulta el manual \n
	+ de instrucciones de la consola Wii para \n
	+ obtener más información.
   805	= No hay suficiente espacio libre en la \n
	+ memoria de la consola Wii. Bloques libres \n
	+ necesarios: 23. Transfiere datos a una \n
	+ tarjeta SD o borra los que no necesites \n
	+ en la pantalla de gestión de datos.
   806	= La memoria de la consola Wii contiene\n
	+ datos dañados. Consulta el manual\n
	+ de instrucciones de la consola Wii\n
	+ para obtener más información.
   807	= Los datos están dañados y no \n
	+ se pueden usar.\n
	+ \n
	+ ¿Quieres borrar el archivo y \n
	+ crear uno nuevo?
   808	/
   809	= No se ha podido acceder a la memoria \n
	+ de la consola Wii. \n
	+ \n
	+ Consulta el manual de instrucciones de la \n
	+ consola Wii para obtener más información.
   80a	= Vas a volver al menú de Wii.
   80b	= Continuar sin guardar
   80c	= Volver al menú de Wii
   80d	= No puedes elegir este menú\n
	+ porque no hay datos guardados.
   80e	= No se han encontrado datos guardados.\n
	+ Inserta el disco de Mario Kart Wii.
   80f	= Reproducir disco
   810	= Vas a volver al menú de Wii.\n
	+ ¿Estás de acuerdo?
   811	= Guardando. No toques el \n
	+ Botón POWER ni el Botón RESET.
   812	= No se pueden cargar los\n
	+ datos del Canal Mii. Ve al \n
	+ Canal Mii para comprobarlos.
   813	= Si borras este Mii del Canal Mii,\n
	+ también lo borrarás de Mario Kart Wii,\n
	+ así que ten cuidado.
   814	= Se ha utilizado un Mii invitado \n
	+ para este carné. Puedes crear tu \n
	+ propio Mii en el Canal Mii.
   815	= No se ha podido enviar el corredor \n
	+ fantasma. Solo puedes enviar 5 \n
	+ corredores fantasma como reto cada \n
	+ vez que juegas.\n
	+ \n
	+ Vuélvelo a intentar la próxima vez \n
	+ que juegues a Mario Kart Wii.
   816	= No se ha podido acceder a la Conexión \n
	+ Wi-Fi de Nintendo. No hay datos guardados.\n
	+ \n
	+ Puedes gestionar los datos de la \n
	+ memoria de la consola Wii en la\n
	+ pantalla de gestión de datos de\n
	+ las opciones de Wii.
