#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

   3e8	= 
   3e9	= No
   3ea	= Sí
   3eb	= Continuar
   3ec	= Salir
   3ed	= Cambiar de circuito
   3ee	= Cambiar de personaje
   3ef	= Volver a empezar
3f0 = Cambiar concurso
   3f1	= Siguiente carrera
   3f2	= Siguiente
   3f3	= Volver a correr
   3f4	= Ver repetición
   3f5	= Continuar repetición
   3f6	= Reiniciar repetición
   3f7	= Ver clasificaciones
   3f8	= Lista de fantasmas
   3f9	/
   3fa	= Siguiente fantasma
   3fb	/
   3fc	= Menú de la CWF de Nintendo
   3fd	= Abandonar repetición
   3fe	= Empezar carrera
   3ff	= Siguiente carrera
   400	= Siguiente batalla
   401	= Espera un momento...
   402	= Cambiar de fantasma
   403	= Retar corredor fantasma
   404	= Continuar repetición
   405	= Terminar repetición
   406	= Reiniciar repetición
   407	= Siguiente partida:\n
	+ \z{a02,1000000000} jugadores previstos
   408	= Enviar resultado
   409	= 
   44d	= ¿Seguro que quieres salir?
   44e	= ¿Quieres acceder a las \n
	+ clasificaciones del Canal \n
	+ Mario Kart?
   44f	= Vale
   450	/
   451	= ¡Enhorabuena!\n
	+ ¡Has batido el récord de \z{802,120000}!\n
	+ \n
	+ ¿Quieres enviar tu corredor \n
	+ fantasma a \z{802,120000}?
   452	= Enviar
   453	= No enviar
   454	= Sí
   455	= No
   456	= 
   457	= ¿Quieres ir a tu lista de amigos?
   458	= Puedes enviar todos los resultados que \n
	+ quieras hasta la fecha límite del \n
	+ concurso. ¿Envías este resultado?
   459	= ¿Seguro que quieres finalizar\n
	+ esta carrera y descargar el\n
	+ siguiente corredor fantasma?
   45a	= ¿Seguro que quieres salir de \n
	+ esta carrera y volver al menú \n
	+ principal?
   45b	= ¡Se ha guardado el corredor fantasma de \z{602,0}!
   45c	= No se ha guardado el corredor fantasma.
   45d	= No se ha podido enviar el corredor fantasma.
   45e	= ¿Quieres volver a la pantalla \n
	+ de selección de circuitos?
   45f	= NO SE PUEDE GUARDAR EL CORREDOR FANTASMA
   460	= 
   461	= ¡Has desbloqueado un fantasma experto del personal!
   4b1 [0] = 3
   4b2 [0] = 2
   4b3 [0] = 1
   4b4 [0] = ¡YA!
   4b5 [0] = ¡FIN!
   4b6 [0] = ¡HAS GANADO!
   4b7 [0] = ¡MALA SUERTE!
   4b8	/
   4b9	/
